date,price_core,core_plus_weak_edge,core_plus_entry_exceptions,full_strategy
2024-10-21,235111.00257687573,235111.00257687573,235111.00257687573,171448.15129291802
2024-10-22,225943.80351357465,225943.80351357465,225943.80351357465,171453.4686901783
2024-10-23,222342.41085104947,222342.41085104947,222342.41085104947,171458.78608743858
2024-10-24,219723.20554308896,219723.20554308896,219723.20554308896,171464.10348469886
2024-10-25,221360.2039819241,221360.2039819241,221360.2039819241,171469.42088195914
2024-10-28,225943.80351357465,225943.80351357465,225943.80351357465,171488.79307373997
2024-10-29,224634.2008595944,224634.2008595944,224634.2008595944,171494.11047100025
2024-10-30,229545.19617609982,229545.19617609982,229545.19617609982,171499.42786826054
2024-10-31,237402.81209998135,237402.81209998135,237402.81209998135,171504.74526552082
2024-11-01,220050.60132794385,220050.60132794385,220050.60132794385,171510.0626627811
2024-11-04,228890.40460639005,228890.40460639005,228890.40460639005,171529.43485456193
2024-11-05,251808.40226464276,251808.40226464276,251808.40226464276,171534.7522518222
2024-11-06,248861.80117182736,248861.80117182736,248861.80117182736,171540.0696490825
2024-11-07,268833.1977372647,268833.1977372647,268833.1977372647,171545.38704634277
2024-11-08,261957.80819706921,261957.80819706921,261957.80819706921,171550.70444360306
2024-11-11,269488.00882153516,269488.00882153516,269488.00882153516,171570.07663538388
2024-11-12,269160.61303668027,269160.61303668027,269160.61303668027,171575.39403264417
2024-11-13,266868.80351357465,266868.80351357465,266868.80351357465,171580.71142990445
2024-11-14,259993.41397337918,259993.41397337918,259993.41397337918,171586.02882716473
2024-11-15,246897.40694813733,246897.40694813733,246897.40694813733,171591.346224425
2024-11-18,234456.21100716596,234456.21100716596,234456.21100716596,171610.71841620584
2024-11-19,234758.47740580305,234758.47740580305,234758.47740580305,171616.03581346612
2024-11-20,234765.75384415922,234765.75384415922,234765.75384415922,171621.3532107264
2024-11-21,234773.0302825154,234773.0302825154,234773.0302825154,171626.67060798669
2024-11-22,234780.30672087157,234780.30672087157,234780.30672087157,171631.98800524697
2024-11-25,234806.81603594005,234806.81603594005,234806.81603594005,171651.3601970278
