datetime,v4,formal_f,different
2025-03-26,CASH,518880.SH,True
2025-03-27,CASH,518880.SH,True
2025-03-28,CASH,518880.SH,True
2025-03-31,CASH,518880.SH,True
2025-04-01,CASH,518880.SH,True
2025-04-02,CASH,518880.SH,True
2025-04-03,510880.SH,518880.SH,True
2025-04-07,CASH,518880.SH,True
2025-04-08,159865.SZ,518880.SH,True
2025-04-09,159865.SZ,518880.SH,True
2025-04-10,159865.SZ,518880.SH,True
2025-04-11,159865.SZ,518880.SH,True
2025-04-14,159865.SZ,518880.SH,True
2025-04-15,159865.SZ,518880.SH,True
2025-04-16,159865.SZ,518880.SH,True
2025-04-17,159865.SZ,518880.SH,True
2025-04-18,159865.SZ,518880.SH,True
2025-04-21,159865.SZ,518880.SH,True
2025-04-22,159865.SZ,518880.SH,True
2025-04-23,159865.SZ,518880.SH,True
2025-04-24,159865.SZ,518880.SH,True
2025-04-25,159865.SZ,518880.SH,True
2025-04-28,159865.SZ,518880.SH,True
2025-04-29,159865.SZ,518880.SH,True
2025-04-30,159865.SZ,518880.SH,True
2025-05-06,159865.SZ,518880.SH,True
2025-05-07,CASH,518880.SH,True
2025-05-08,CASH,518880.SH,True
2025-05-09,CASH,518880.SH,True
2025-05-27,CASH,512800.SH,True
2025-05-28,CASH,512800.SH,True
2025-05-29,CASH,512800.SH,True
2025-05-30,CASH,512800.SH,True
2025-06-03,CASH,512800.SH,True
2025-06-04,CASH,512800.SH,True
2025-11-21,561360.SH,CASH,True
2025-11-24,561360.SH,CASH,True
2025-11-25,561360.SH,CASH,True
2025-11-26,561360.SH,CASH,True
2025-12-11,560280.SH,CASH,True
2025-12-12,560280.SH,CASH,True
2025-12-15,560280.SH,CASH,True
2025-12-16,560280.SH,CASH,True
2025-12-17,560280.SH,513500.SH,True
2025-12-18,560280.SH,513500.SH,True
2025-12-19,CASH,513500.SH,True
2025-12-24,CASH,512070.SH,True
2025-12-25,CASH,512070.SH,True
2025-12-26,CASH,512070.SH,True
2025-12-29,512660.SH,512070.SH,True
2025-12-30,512660.SH,512070.SH,True
2025-12-31,512660.SH,512070.SH,True
2026-01-05,512660.SH,512070.SH,True
2026-01-06,512660.SH,512070.SH,True
2026-01-07,512660.SH,512070.SH,True
2026-01-08,512660.SH,512070.SH,True
2026-01-09,512660.SH,512070.SH,True
2026-01-12,512660.SH,CASH,True
2026-01-13,512660.SH,CASH,True
2026-01-14,512660.SH,CASH,True
2026-01-15,512660.SH,CASH,True
2026-01-16,512660.SH,CASH,True
2026-01-19,512660.SH,CASH,True
2026-01-20,512660.SH,CASH,True
2026-01-21,512660.SH,CASH,True
2026-01-22,512660.SH,CASH,True
2026-01-23,512660.SH,CASH,True
2026-01-26,512660.SH,CASH,True
2026-01-27,512660.SH,CASH,True
2026-01-28,512660.SH,CASH,True
2026-03-19,CASH,159611.SZ,True
2026-03-20,CASH,159611.SZ,True
2026-03-23,CASH,159611.SZ,True
2026-03-24,CASH,159611.SZ,True
2026-03-25,CASH,159611.SZ,True
2026-03-26,CASH,159611.SZ,True
2026-03-27,CASH,159611.SZ,True
2026-03-30,CASH,159611.SZ,True
2026-03-31,CASH,159611.SZ,True
2026-07-10,CASH,512010.SH,True
2026-07-14,159985.SZ,CASH,True
2026-07-15,159985.SZ,CASH,True
2026-07-16,159985.SZ,CASH,True
