,equity
2022-08-08,129072.0480421107
2022-08-09,129076.05941197372
2022-08-10,129080.07078183674
2022-08-11,129084.08215169975
2022-08-12,129088.09352156277
2022-08-15,129102.7076311518
2022-08-16,129106.71900101482
2022-08-17,128183.03283993041
2022-08-18,126739.04067221915
2022-08-19,126558.53223744666
2022-08-22,124753.5339588288
2022-08-23,122226.53421703613
2022-08-24,122948.53568021095
2022-08-25,124212.04093042648
2022-08-26,125114.5400697354
2022-08-29,119699.53447524345
2022-08-30,119340.61691587004
2022-08-31,119344.31732682894
2022-09-01,119849.84296731246
2022-09-02,120938.64517382873
2022-09-05,120258.1458228041
2022-09-06,120802.54692606223
2022-09-07,118897.14712075485
2022-09-08,116311.23985223068
2022-09-09,115902.94510893119
2022-09-13,119441.54011182082
2022-09-14,117400.04205874694
2022-09-15,115086.34751014007
2022-09-16,114913.88215592068
2022-09-19,114926.79695044123
2022-09-20,114930.34188194809
2022-09-21,114933.88681345494
2022-09-22,114937.4317449618
2022-09-23,114940.97667646865
2022-09-26,114953.8914709892
2022-09-27,114957.43640249605
2022-09-28,114960.9813340029
2022-09-29,114964.52626550976
2022-09-30,114968.07119701662
2022-10-10,115013.78051208511
2022-10-11,114785.36908706825
2022-10-12,114847.90866692844
2022-10-13,114675.42789917745
2022-10-14,116255.84181649356
2022-10-17,113378.5181882451
2022-10-18,111897.31806541185
2022-10-19,111768.51972366075
2022-10-20,112283.72076774336
2022-10-21,112154.92242599229
2022-10-24,113056.51849532823
2022-10-25,112863.31714416246
2022-10-26,114537.71861816148
2022-10-27,113958.12224174239
2022-10-28,112992.11548591356
2022-10-31,114859.71831107835
2022-11-01,118144.11824966173
2022-11-02,117693.32021499376
2022-11-03,117564.52187324266
2022-11-04,117435.71585441331
2022-11-07,118079.71524024705
2022-11-08,118981.31898666124
2022-11-09,119110.11732841234
2022-11-10,120333.72076774336
2022-11-11,118401.72261024217
2022-11-14,116405.32144332628
2022-11-15,116212.1200921605
2022-11-16,116791.71646857957
2022-11-17,116147.71708274583
2022-11-18,115117.31499458055
2022-11-21,115696.91904807786
2022-11-22,116598.5151174138
2022-11-23,117950.91689849593
2022-11-24,119238.91567016343
2022-11-25,120333.72076774336
2022-11-28,118272.91659141282
2022-11-29,119303.31867957808
2022-11-30,119690.0042901496
2022-12-01,118264.15735257849
2022-12-02,118466.9571881255
2022-12-05,122733.78840507125
2022-12-06,119691.28405274005
2022-12-07,120786.58445895766
2022-12-08,124194.18411077117
2022-12-09,125289.49177087401
2022-12-12,124559.28666413878
2022-12-13,124315.88979781722
2022-12-14,124194.18411077117
2022-12-15,122003.58329833605
2022-12-16,123220.58213771437
2022-12-19,117987.48422683333
2022-12-20,116283.68440092658
2022-12-21,118109.18991387938
2022-12-22,120664.88602579688
2022-12-23,122368.68585170363
2022-12-26,121273.38544548606
2022-12-27,122003.58329833605
2022-12-28,123707.39037812804
2022-12-29,125046.08039678191
2022-12-30,124194.18411077117
2023-01-03,126019.6823698387
2023-01-04,129548.98770869829
2023-01-05,130765.98654807662
