datetime,primary,formal_f,different
2023-01-11,518880.SH,513200.SH,True
2023-01-12,518880.SH,513200.SH,True
2023-01-13,518880.SH,513200.SH,True
2023-01-16,518880.SH,513200.SH,True
2023-01-17,518880.SH,513200.SH,True
2023-01-18,518880.SH,513200.SH,True
2023-01-19,518880.SH,513200.SH,True
2023-01-20,518880.SH,513200.SH,True
2023-01-30,518880.SH,513200.SH,True
2023-01-31,518880.SH,CASH,True
2023-02-01,518880.SH,CASH,True
2023-02-02,518880.SH,CASH,True
2023-02-03,518880.SH,CASH,True
2023-02-06,518880.SH,CASH,True
2023-02-07,159941.SZ,CASH,True
2023-02-08,159941.SZ,512690.SH,True
2023-02-09,159941.SZ,512690.SH,True
2023-02-10,159941.SZ,512690.SH,True
2023-02-13,159941.SZ,512690.SH,True
2023-02-14,159941.SZ,512690.SH,True
2023-02-15,159941.SZ,512690.SH,True
2023-02-16,159941.SZ,512690.SH,True
2023-02-17,159941.SZ,512690.SH,True
2023-02-20,159941.SZ,512690.SH,True
2023-02-21,159941.SZ,512690.SH,True
2023-02-22,159941.SZ,512690.SH,True
2023-02-23,159941.SZ,512690.SH,True
2023-02-24,159941.SZ,512690.SH,True
2023-02-27,CASH,512690.SH,True
2023-02-28,CASH,512690.SH,True
2023-03-01,CASH,512690.SH,True
2023-03-02,510880.SH,512690.SH,True
2023-03-03,510880.SH,512690.SH,True
2023-03-06,510880.SH,512690.SH,True
2023-03-07,510880.SH,512690.SH,True
2023-03-08,510880.SH,CASH,True
2023-03-09,510880.SH,CASH,True
2023-03-10,510880.SH,CASH,True
2023-03-13,510880.SH,CASH,True
2023-03-17,518880.SH,CASH,True
2023-03-20,518880.SH,CASH,True
2023-03-21,518880.SH,CASH,True
2023-03-22,518880.SH,CASH,True
2023-03-23,518880.SH,CASH,True
2023-03-24,518880.SH,CASH,True
2023-03-27,518880.SH,CASH,True
2023-03-28,518880.SH,CASH,True
2023-03-29,518880.SH,CASH,True
2023-03-30,518880.SH,CASH,True
2023-03-31,518880.SH,CASH,True
2023-04-03,518880.SH,CASH,True
2023-04-04,518880.SH,CASH,True
2023-04-06,518880.SH,CASH,True
2023-04-07,518880.SH,CASH,True
2023-04-10,518880.SH,CASH,True
2023-04-11,518880.SH,CASH,True
2023-04-12,513500.SH,CASH,True
2023-04-13,513500.SH,CASH,True
2023-04-14,513500.SH,CASH,True
2023-04-17,513500.SH,CASH,True
2023-04-18,513500.SH,CASH,True
2023-04-19,513500.SH,CASH,True
2023-04-20,513500.SH,CASH,True
2023-04-21,513500.SH,CASH,True
2023-04-24,513500.SH,CASH,True
2023-04-25,513500.SH,CASH,True
2023-04-26,513500.SH,CASH,True
2023-04-27,513500.SH,CASH,True
2023-04-28,513500.SH,510880.SH,True
2023-05-04,513500.SH,510880.SH,True
2023-05-05,159611.SZ,510880.SH,True
2023-05-08,159611.SZ,510880.SH,True
2023-05-09,159611.SZ,510880.SH,True
2023-05-10,159611.SZ,510880.SH,True
2023-05-11,159611.SZ,510880.SH,True
2023-05-12,159611.SZ,510880.SH,True
2023-05-15,159611.SZ,510880.SH,True
2023-05-16,159611.SZ,510880.SH,True
2023-05-17,159611.SZ,510880.SH,True
2023-05-18,159611.SZ,510880.SH,True
2023-05-19,159611.SZ,510880.SH,True
2023-05-22,159611.SZ,510880.SH,True
2023-05-23,159611.SZ,510880.SH,True
2023-05-24,159611.SZ,CASH,True
2023-05-25,159611.SZ,CASH,True
2023-05-26,159611.SZ,CASH,True
2023-05-29,513500.SH,CASH,True
2023-06-20,513500.SH,CASH,True
2023-06-21,513500.SH,CASH,True
2023-06-26,513500.SH,CASH,True
2023-06-27,513500.SH,CASH,True
2023-06-28,513500.SH,CASH,True
2023-06-29,513500.SH,CASH,True
2023-06-30,513500.SH,CASH,True
2023-07-03,513500.SH,CASH,True
2023-07-04,513500.SH,CASH,True
2023-07-05,513500.SH,159985.SZ,True
2023-07-06,513500.SH,159985.SZ,True
2023-08-08,512200.SH,159985.SZ,True
2023-08-09,512200.SH,159985.SZ,True
2023-08-10,512200.SH,159985.SZ,True
2023-08-11,512200.SH,159985.SZ,True
2023-08-14,512200.SH,159985.SZ,True
2023-08-15,512200.SH,159985.SZ,True
2023-08-16,512200.SH,159985.SZ,True
2023-08-17,512200.SH,159985.SZ,True
2023-08-18,CASH,159985.SZ,True
2023-08-21,CASH,159985.SZ,True
2023-08-22,CASH,159985.SZ,True
2023-08-23,CASH,159985.SZ,True
2023-08-24,CASH,159985.SZ,True
2023-08-25,CASH,159985.SZ,True
2023-08-28,CASH,159985.SZ,True
2023-08-29,CASH,159985.SZ,True
2023-08-30,CASH,159985.SZ,True
2023-08-31,CASH,159985.SZ,True
2023-09-01,CASH,159985.SZ,True
2023-09-04,CASH,159985.SZ,True
2023-09-05,CASH,159985.SZ,True
